,Likes,Retweets,Text,User Location
0,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,"Fullerton, California USA"
1,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,
2,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,
3,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,"Nashville, NC"
4,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,United States
5,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,Texas
6,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,Davos / Antarctica 
7,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,?
8,0,0,"RT @Claudette966: HAPPY SATURDAY GET TOGETHER
#BLM #Buffalo #Texas #BlackLivesMatter
WE SUPPORT
#DemVoice1 #VoteBlue2022 🇺🇸 
#BidenHarris…","Ohio, USA"
9,0,0,@Michael20224 #NYC #BLM @NYCMayor good luck,NY  
10,0,0,#thuglife #black #stereotype #felon #blm #crime #murder #woke #wokeaf https://t.co/upQwgONcGy,Medina 98039
11,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,
12,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,Texas
13,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,
14,2,0,"Brian spoke to my kid's boys school a decade or so ago about inclusion/homophobia. Hearing those words from a ""toug… https://t.co/TJK3bkkqsj","Toronto, Ontario"
15,0,0,"RT @guta1610: “It is a #dehumanization of #blackpeople, and we don’t see that with any other race. It’s ingrained in us from our history,”…",United Kingdom
16,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,
17,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,"Colorado, USA"
18,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,
19,0,0,"#inclusiveness #Indigenious #Latino #BLM 

Well, this is a start; however, the GREATER EFFORT is to #StopTheLies on… https://t.co/pkojenYjHV","Terra bicoastal, ex-expat"
20,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,
21,0,0,RT @MrAndyNgo: Steven Carillo has been sentenced to 41 years for a deadly attack inspired by #BLM during a riot in Oakland. Liberal press s…,United States
